date,close,volume,difference,model_release
2021-01-01,272.0133361816406,531246900,,0
2021-01-08,281.6666564941406,735619800,9.6533203125,0
2021-01-15,281.663330078125,330994800,-0.003326416015625,0
2021-01-22,278.4766540527344,414250500,-3.186676025390625,0
2021-01-29,283.3299865722656,356653800,4.85333251953125,0
2021-02-05,270.5533447265625,335174700,-12.776641845703125,0
2021-02-12,262.4599914550781,262572600,-8.093353271484375,0
2021-02-19,227.4066619873047,595877400,-35.05332946777344,0
2021-02-26,207.14666748046875,564255300,-20.259994506835938,0
2021-03-05,233.1999969482422,916699200,26.053329467773438,0
2021-03-12,217.72000122070312,506137200,-15.479995727539062,0
2021-03-19,213.4633331298828,557754600,-4.2566680908203125,0
2021-03-26,220.5833282470703,511673700,7.1199951171875,0
2021-04-02,227.9333343505859,361044900,7.350006103515597,0
2021-04-09,246.28334045410156,516275700,18.350006103515653,0
2021-04-16,239.89666748046875,510241500,-6.3866729736328125,0
2021-04-23,225.6666717529297,419885700,-14.229995727539062,0
2021-04-30,221.17999267578125,441682800,-4.4866790771484375,0
2021-05-07,190.56333923339844,538122000,-30.616653442382812,0
2021-05-14,195.5933380126953,518974200,5.029998779296875,0
2021-05-21,210.28334045410156,430813500,14.69000244140625,0
2021-05-28,190.94667053222656,282709800,-19.336669921875,0
2021-06-04,203.3733367919922,339414600,12.426666259765625,0
2021-06-11,205.53334045410156,297716700,2.160003662109375,0
2021-06-18,226.6066741943359,436842300,21.073333740234347,0
2021-06-25,225.97332763671875,327196800,-0.6333465576171591,0
2021-07-02,217.60333251953125,275712900,-8.3699951171875,0
2021-07-09,216.86666870117188,320653200,-0.736663818359375,0
2021-07-16,216.4199981689453,246642600,-0.4466705322265625,0
2021-07-23,225.78334045410156,357468000,9.36334228515625,0
2021-07-30,238.2100067138672,344444100,12.426666259765625,0
2021-08-06,240.75,213090900,2.5399932861328125,0
2021-08-13,224.4900054931641,293379300,-16.25999450683591,0
2021-08-20,233.72000122070312,222149400,9.229995727539034,0
2021-08-27,244.1300048828125,237825000,10.410003662109375,0
2021-09-03,251.6199951171875,204469800,7.489990234375,0
2021-09-10,252.3300018310547,257828100,0.7100067138671875,0
2021-09-17,251.2133331298828,289099200,-1.116668701171875,0
2021-09-24,258.49334716796875,341172000,7.2800140380859375,0
2021-10-01,264.53668212890625,299327700,6.0433349609375,0
2021-10-08,272.7733459472656,237978600,8.236663818359375,0
2021-10-15,298.0,318079500,25.226654052734375,0
2021-10-22,359.0133361816406,641662800,61.013336181640625,0
2021-10-29,409.9700012207031,566192400,50.9566650390625,0
2021-11-05,354.5033264160156,538138800,-55.4666748046875,0
