,headline,date,time,neg,neu,pos,compound
96,"Tesla Drops Some Prices, Says Certain Cars Losing Federal Tax Credits",2023-09-03,1900-01-01 07:00:00,0.171,0.526,0.303,0.25
97,Road-rage rampage: Suspected Tesla driver at center of SoCal road-rage attacks arrested,2023-04-07,1900-01-01 07:00:00,0.467,0.533,0.0,-0.7845
98,"Tesla's approval rating sinks into negative territory, survey finds",2023-01-30,1900-01-01 08:00:00,0.268,0.507,0.225,-0.1531
99,"Tesla income jumps 20%, but shares fall after hours amid profit concerns",2022-12-12,1900-01-01 08:00:00,0.0,0.601,0.399,0.7684
100,"Tesla's Cybertruck Set to Drive Profits Skyward After It Starts Shipping By Year-End, Says Noted Analyst",2023-07-19,1900-01-01 07:00:00,0.0,0.838,0.162,0.4404
101,Tesla Cybertruck to see 100-120k deliveries in 2024: Top Apple analyst Ming-Chi Kuo,2023-10-10,1900-01-01 03:27:39,0.0,0.87,0.13,0.2023
102,"Cybertruck On Track To Become No.1 Cross-Shopped Vehicle Against Rivian, Says Edmunds",2023-10-10,1900-01-01 16:16:00,0.0,1.0,0.0,0.0
103,"Tesla's Cybertruck will start shipping before the end of the year, but probably not yours",2023-10-09,1900-01-01 07:08:11,0.0,1.0,0.0,0.0
104,Tesla Supercharger in Sunway Pyramid - four units - paultan.org,2023-10-09,1900-01-01 18:20:00,0.0,1.0,0.0,0.0
105,Researchers jailbreak a Tesla to get free in-car feature upgrades,2023-10-10,1900-01-01 05:11:28,0.0,0.708,0.292,0.5106
106,China's Tesla take-down: 2024 BYD Seal Australian launch date finally revealed with Model 3 rival ready to rumble at last - but is it cheaper than a Tesla?,2023-08-03,1900-01-01 07:00:00,0.0,0.932,0.068,0.1901
