Date,Closing_Prices,Weekly_Volume
2021-01-01,272.0133361816406,531246900
2021-01-08,281.6666564941406,735619800
2021-01-15,281.663330078125,330994800
2021-01-22,278.4766540527344,414250500
2021-01-29,283.3299865722656,356653800
2021-02-05,270.5533447265625,335174700
2021-02-12,262.4599914550781,262572600
2021-02-19,227.4066619873047,595877400
2021-02-26,207.14666748046875,564255300
2021-03-05,233.1999969482422,916699200
2021-03-12,217.72000122070312,506137200
2021-03-19,213.4633331298828,557754600
2021-03-26,220.5833282470703,511673700
2021-04-02,227.93333435058594,361044900
2021-04-09,246.28334045410156,516275700
2021-04-16,239.89666748046875,510241500
2021-04-23,225.6666717529297,419885700
2021-04-30,221.17999267578125,441682800
2021-05-07,190.56333923339844,538122000
2021-05-14,195.5933380126953,518974200
2021-05-21,210.28334045410156,430813500
2021-05-28,190.94667053222656,282709800
2021-06-04,203.3733367919922,339414600
2021-06-11,205.53334045410156,297716700
2021-06-18,226.60667419433594,436842300
2021-06-25,225.97332763671875,327196800
2021-07-02,217.60333251953125,275712900
2021-07-09,216.86666870117188,320653200
2021-07-16,216.4199981689453,246642600
2021-07-23,225.78334045410156,357468000
2021-07-30,238.2100067138672,344444100
2021-08-06,240.75,213090900
2021-08-13,224.49000549316406,293379300
2021-08-20,233.72000122070312,222149400
2021-08-27,244.1300048828125,237825000
2021-09-03,251.6199951171875,204469800
2021-09-10,252.3300018310547,257828100
2021-09-17,251.2133331298828,289099200
2021-09-24,258.49334716796875,341172000
2021-10-01,264.53668212890625,299327700
2021-10-08,272.7733459472656,237978600
2021-10-15,298.0,318079500
2021-10-22,359.0133361816406,641662800
2021-10-29,409.9700012207031,566192400
2021-11-05,354.5033264160156,538138800
2021-11-12,365.4599914550781,417706200
2021-11-19,372.0,340340100
2021-11-26,361.5333251953125,316277400
2021-12-03,334.6000061035156,331414500
2021-12-10,308.97332763671875,367006800
2021-12-17,355.6666564941406,414782700
2021-12-24,356.7799987792969,234664800
2021-12-31,354.8999938964844,415369800
2022-01-07,343.85333251953125,422991900
2022-01-14,332.0899963378906,285598800
2022-01-21,276.3666687011719,593554500
2022-01-28,297.0466613769531,458011800
2022-02-04,301.51666259765625,303735300
2022-02-11,292.1166687011719,311161200
2022-02-18,266.92333984375,382368900
2022-02-25,279.7633361816406,386108400
2022-03-04,279.4333190917969,337725300
2022-03-11,290.5333251953125,355642200
2022-03-18,337.97332763671875,477861300
2022-03-25,359.20001220703125,347010300
2022-04-01,352.4200134277344,385169700
2022-04-08,328.3333435058594,293890200
2022-04-15,336.260009765625,277690500
2022-04-22,292.5033264160156,476076300
2022-04-29,291.09332275390625,401787000
2022-05-06,242.6666717529297,485652600
2022-05-13,236.47332763671875,436593900
2022-05-20,235.91000366210938,521111700
2022-05-27,258.3333435058594,361930500
2022-06-03,239.7066650390625,442108800
2022-06-10,213.10000610351562,524815200
2022-06-17,235.07000732421875,420744900
2022-06-24,224.47332763671875,452838000
2022-07-01,244.5433349609375,312825600
2022-07-08,238.31333923339844,465538200
2022-07-15,271.7066650390625,464007300
2022-07-22,280.8999938964844,407199900
2022-07-29,308.6333312988281,460280700
2022-08-05,286.6300048828125,463485300
2022-08-12,302.8699951171875,373419300
2022-08-19,296.07000732421875,291713200
2022-08-26,277.1600036621094,255964700
2022-09-02,289.260009765625,210492100
2022-09-09,303.75,308666500
2022-09-16,288.5899963378906,342062900
2022-09-23,268.2099914550781,316035900
2022-09-30,238.1300048828125,431949700
2022-10-07,221.72000122070312,387198700
2022-10-14,207.27999877929688,433814800
2022-10-21,225.08999633789062,419319800
2022-10-28,215.30999755859375,313004600
2022-11-04,190.72000122070312,581107800
2022-11-11,183.1699981689453,428827600
2022-11-18,183.1999969482422,356920600
2022-11-25,194.6999969482422,416167600
2022-12-02,173.44000244140625,440757200
2022-12-09,157.6699981689453,653546300
2022-12-16,125.3499984741211,793493800
2022-12-23,121.81999969482422,818626900
2022-12-30,110.33999633789062,727555400
2023-01-06,123.55999755859375,932049300
2023-01-13,127.16999816894531,733163300
2023-01-20,160.27000427246094,928225800
2023-01-27,188.27000427246094,1165537500
2023-02-03,207.32000732421875,1000965400
2023-02-10,202.0399932861328,1004278200
2023-02-17,202.07000732421875,731945600
2023-02-24,190.89999389648438,794754800
2023-03-03,172.9199981689453,752340800
2023-03-10,184.1300048828125,770129500
2023-03-17,192.22000122070312,710843200
2023-03-24,195.27999877929688,569730800
2023-03-31,185.05999755859375,723972200
2023-04-07,185.89999389648438,521114800
2023-04-14,162.99000549316406,641871400
2023-04-21,160.19000244140625,665924200
2023-04-28,161.1999969482422,574627000
2023-05-05,172.0800018310547,532385900
2023-05-12,176.88999938964844,596452300
2023-05-19,184.47000122070312,659453500
2023-05-26,207.52000427246094,589621800
2023-06-02,234.86000061035156,812384200
2023-06-09,255.89999389648438,843351200
2023-06-16,264.6099853515625,711847900
2023-06-23,257.5,812597100
2023-06-30,276.5400085449219,483816500
2023-07-07,277.8999938964844,533353400
2023-07-14,262.8999938964844,681289100
2023-07-21,255.7100067138672,609869400
2023-07-28,259.32000732421875,478516200
2023-08-04,245.33999633789062,518077600
2023-08-11,219.22000122070312,518862400
2023-08-18,230.0399932861328,602969300
2023-08-25,258.0799865722656,579183600
2023-09-01,251.49000549316406,494014800
2023-09-08,276.0400085449219,648419000
2023-09-15,255.6999969482422,580715700
2023-09-22,246.3800048828125,587810400
2023-09-29,260.04998779296875,603022700
2023-10-06,259.6700134277344,219103100
2023-10-10,266.29998779296875,72695909
